DISTRICT,YEAR,TOTAL IPC CRIMES
ARARIA,2001,2069
ARWAL,2001,591
AURANGABAD,2001,1690
BAGAHA,2001,912
BANKA,2001,1386
BEGUSARAI,2001,2628
BETTIAH,2001,2796
BHABHUA,2001,1368
BHAGALPUR,2001,2634
BHOJPUR,2001,2806
BUXAR,2001,1674
DARBHANGA,2001,2572
GAYA,2001,3182
GOPALGANJ,2001,2098
JAMALPUR RLY.,2001,225
JAMUI,2001,1046
JEHANABAD,2001,1353
KATIHAR,2001,1811
KATIHAR RLY.,2001,417
KHAGARIA,2001,895
KISHANGANJ,2001,897
LAKHISARAI,2001,754
MADHEPURA,2001,1062
MADHUBANI,2001,2897
MOTIHARI,2001,3881
MUNGER,2001,1758
MUZAFFARPUR,2001,4212
MUZAFFARPUR RLY.,2001,538
NALANDA,2001,3479
NAUGACHIA,2001,570
NAWADAH,2001,1515
PATNA,2001,8583
PATNA RLY.,2001,1127
PURNEA,2001,2054
ROHTAS,2001,2961
SAHARSA,2001,1066
SAMASTIPUR,2001,2853
SARAN,2001,3442
SHEIKHPURA,2001,804
SHEOHAR,2001,428
SITAMARHI,2001,1797
SIWAN,2001,1853
SUPAUL,2001,1672
VAISHALI,2001,4076
ARARIA,2002,2085
ARWAL,2002,606
AURANGABAD,2002,2312
BAGAHA,2002,975
BANKA,2002,1496
BEGUSARAI,2002,3054
BETTIAH,2002,3288
BHABHUA,2002,1509
BHAGALPUR,2002,2791
BHOJPUR,2002,3021
BUXAR,2002,1840
DARBHANGA,2002,3087
GAYA,2002,3124
GOPALGANJ,2002,2035
JAMALPUR RLY.,2002,239
JAMUI,2002,1048
JEHANABAD,2002,1318
KATIHAR,2002,2173
KATIHAR RLY.,2002,434
KHAGARIA,2002,1101
KISHANGANJ,2002,966
LAKHISARAI,2002,788
MADHEPURA,2002,1019
MADHUBANI,2002,2627
MOTIHARI,2002,4596
MUNGER,2002,2014
MUZAFFARPUR,2002,4863
MUZAFFARPUR RLY.,2002,609
NALANDA,2002,3247
NAUGACHIA,2002,711
NAWADAH,2002,1500
PATNA,2002,9217
PATNA RLY.,2002,1018
PURNEA,2002,2131
ROHTAS,2002,3419
SAHARSA,2002,967
SAMASTIPUR,2002,2808
SARAN,2002,3277
SHEIKHPURA,2002,887
SHEOHAR,2002,447
SITAMARHI,2002,2172
SIWAN,2002,2016
SUPAUL,2002,1760
VAISHALI,2002,3445
ARARIA,2003,2071
ARWAL,2003,597
AURANGABAD,2003,2329
BAGAHA,2003,932
BANKA,2003,1250
BEGUSARAI,2003,2903
BETTIAH,2003,3012
BHABHUA,2003,1236
BHAGALPUR,2003,3042
BHOJPUR,2003,2794
BUXAR,2003,1167
DARBHANGA,2003,2808
GAYA,2003,3345
GOPALGANJ,2003,2005
JAMALPUR RLY.,2003,237
JAMUI,2003,1055
JEHANABAD,2003,1680
KATIHAR,2003,2177
KATIHAR RLY.,2003,524
KHAGARIA,2003,1397
KISHANGANJ,2003,959
LAKHISARAI,2003,782
MADHEPURA,2003,1001
MADHUBANI,2003,2687
MOTIHARI,2003,4286
MUNGER,2003,1877
MUZAFFARPUR,2003,4841
MUZAFFARPUR RLY.,2003,594
NALANDA,2003,2949
NAUGACHIA,2003,693
NAWADAH,2003,1347
PATNA,2003,9770
PATNA RLY.,2003,1119
PURNEA,2003,1919
ROHTAS,2003,2855
SAHARSA,2003,1004
SAMASTIPUR,2003,2970
SARAN,2003,3709
SHEIKHPURA,2003,717
SHEOHAR,2003,410
SITAMARHI,2003,2407
SIWAN,2003,2065
SUPAUL,2003,1246
VAISHALI,2003,3495
ARARIA,2004,2035
ARWAL,2004,487
AURANGABAD,2004,2418
BAGAHA,2004,977
BANKA,2004,1378
BEGUSARAI,2004,3110
BETTIAH,2004,5235
BHABHUA,2004,1432
BHAGALPUR,2004,3362
BHOJPUR,2004,3795
BUXAR,2004,2304
DARBHANGA,2004,3083
GAYA,2004,3536
GOPALGANJ,2004,2724
JAMALPUR RLY.,2004,328
JAMUI,2004,1388
JEHANABAD,2004,1430
KATIHAR,2004,1899
KATIHAR RLY.,2004,445
KHAGARIA,2004,1554
KISHANGANJ,2004,1052
LAKHISARAI,2004,914
MADHEPURA,2004,1175
MADHUBANI,2004,2721
MOTIHARI,2004,4331
MUNGER,2004,1672
MUZAFFARPUR,2004,6810
